Anglais,Francais,Type
Makes me feel good,Je me sens bien,Hédonique
Romantic,Romantique,hédonique
Fits me well,Me convient bien,hédonique
Feminine,Féminin,hédonique
Sensual/sexy,Sensuel / sexy,hédonique
Clean,Nettoyer,hédonique
Easy to wear,Facile à porter,hédonique
High quality,Haute qualité,hédonique
Elegant/Sophisticated,Élégante / sophistiquée,hédonique
Young/Youthful,Jeune / Juvénile,hédonique
Modern,Moderne,hédonique
Sweet,Sucré,Note
Natural,Naturel,hédonique
For evening/nighttime,Pour le soir / nuit,hédonique
Fresh,Frais,hédonique
Soft,Doux,hédonique
Light,Lumière,hédonique
Classic,Classique,hédonique
Warm,Chaud,hédonique
Bold,Audacieux,hédonique
Wet,Humide,supprimer
Powdery,Poudreux,hédonique
Aromatic herbs,Herbes aromatiques,note
Has character,a du caractère,hédonique
Sporty,Sportif,hédonique
Aquatic/Marine,Aquatique / Marine,note
Floral,Floral,note
New/Never smelled before,Nouveau / jamais respiré avant,hédonique
Soapy,Savonneux,hédonique
For daytime,pour la journée,hédonique
Won’t forget,N'oublier,hédonique
Smells like Vanilla,Vanille,note
Fruity,Fruité,hédonique
Masculine,Masculin,hédonique
Citrusy,citronné,note
Smoky,Enfumé,note
Green/Grass-Like,Vert / Herbe-Like,note
Oriental,Oriental,note
Spicy,Épicé,note
Food-like,Alimentaire,note
Woody,Boisé,hédonique